rightIntensity,xdistance,rightTouch,leftTouch,class
28,31,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
38,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,60,FALSE,FALSE,BACKLEFT
39,60,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,60,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
40,61,FALSE,FALSE,BACKLEFT
40,61,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,61,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
41,60,FALSE,FALSE,BACKLEFT
42,60,FALSE,FALSE,BACKLEFT
43,60,FALSE,FALSE,BACKLEFT
45,60,FALSE,FALSE,BACKLEFT
45,60,FALSE,FALSE,BACKLEFT
45,60,FALSE,FALSE,BACKLEFT
45,60,FALSE,FALSE,BACKLEFT
44,59,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
38,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
37,61,FALSE,FALSE,BACKLEFT
38,61,FALSE,FALSE,BACKLEFT
38,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,61,FALSE,FALSE,BACKLEFT
39,60,FALSE,FALSE,BACKLEFT
39,60,FALSE,FALSE,BACKLEFT
39,60,FALSE,FALSE,BACKLEFT
39,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,59,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
40,60,FALSE,FALSE,BACKLEFT
41,59,FALSE,FALSE,BACKLEFT
42,59,FALSE,FALSE,BACKLEFT
43,59,FALSE,FALSE,BACKLEFT
43,59,FALSE,FALSE,BACKLEFT
43,59,FALSE,FALSE,BACKLEFT
44,59,FALSE,FALSE,BACKLEFT
