@RELATION elevation

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE elevation NUMERIC

@DATA
561.5,116.0,48
561.5,116.5,48
561.5,116.5,48
560.0,117.5,48
560.0,117.5,48
561.5,116.0,48
561.5,116.0,48
560.0,116.0,48
560.0,116.0,48
560.0,116.5,49
560.0,116.5,49
558.0,115.0,49
558.0,115.0,49
556.0,115.0,49
556.0,115.0,50
555.5,115.5,51
555.5,115.5,52
554.5,115.0,53
554.5,115.0,54
553.5,116.0,55
553.5,116.0,55
551.5,115.5,56
551.5,115.5,56
548.0,117.5,56
548.0,117.5,56
548.0,115.0,57
548.0,115.0,57
546.0,116.0,57
546.0,116.0,57
545.0,117.0,57
545.0,117.0,57
545.5,116.0,57
545.5,116.0,57
542.0,117.0,57
541.0,117.0,57
541.0,117.0,57
539.0,116.5,57
539.0,116.5,57
538.0,117.5,57
538.0,117.5,57
535.5,115.0,57
535.5,115.0,57
535.5,116.0,57
535.5,116.0,57
533.0,116.0,57
533.0,116.0,57
531.0,117.0,57
531.0,117.0,57
530.5,116.0,57
530.5,116.0,57
529.0,118.0,57
529.0,118.0,57
527.0,117.0,57
527.0,117.0,57
525.0,116.0,57
525.0,116.0,57
523.5,118.0,57
523.5,118.0,57
522.5,117.0,57
522.5,117.0,57
520.5,118.0,57
520.5,118.0,57
519.0,117.5,57
519.0,117.5,57
517.5,118.5,57
517.5,118.5,57
515.0,117.5,57
515.0,117.5,57
514.0,117.5,58
512.0,118.0,58
512.0,118.0,59
512.0,118.0,60
510.5,116.5,60
509.0,117.5,61
509.0,117.5,62
509.0,117.5,64
507.5,117.5,65
505.5,116.0,66
505.5,116.0,66
505.5,116.0,66
505.0,117.5,66
502.0,117.0,66
502.0,117.0,65
500.5,118.0,65
500.5,118.0,65
498.0,117.0,65
498.0,117.0,65
497.5,116.5,64
497.5,116.5,64
496.0,117.5,63
496.0,117.5,62
494.0,117.0,61
494.0,117.0,60
492.0,117.0,59
492.0,117.0,59
491.0,118.0,58
491.0,118.0,57
488.0,118.5,56
488.0,118.5,55
487.5,118.0,55
487.5,118.0,54
485.0,117.5,53
485.0,117.5,53
483.0,117.0,53
483.0,117.0,53
481.5,118.0,53
481.5,118.0,53
481.5,117.5,53
481.5,117.5,53
479.5,117.5,53
479.5,117.5,53
477.5,117.0,53
477.5,117.0,53
475.0,118.5,53
475.0,118.5,53
473.0,118.5,53
473.0,118.5,53
471.5,118.0,53
470.0,118.0,53
470.0,118.0,53
470.0,118.0,53
469.5,118.5,53
467.5,118.5,53
467.5,118.5,53
467.5,118.5,53
465.0,117.0,53
465.5,117.5,53
465.5,117.5,53
465.5,117.5,53
463.5,117.5,53
461.0,118.0,53
461.0,118.0,53
460.5,118.5,53
460.5,118.5,53
457.0,118.5,53
457.0,118.5,53
456.5,118.0,53
456.5,118.0,53
454.0,119.0,53
454.0,119.0,53
453.0,119.0,53
453.0,119.0,53
451.5,118.0,53
451.5,118.0,53
451.5,118.5,53
451.5,118.5,53
449.0,119.0,53
449.0,119.0,53
447.5,119.0,53
447.5,119.0,53
445.5,117.0,53
445.5,117.0,53
444.0,118.5,53
444.0,118.5,53
441.5,119.5,53
441.5,119.5,53
441.5,119.5,53
441.5,119.5,53
438.0,120.0,53
438.0,120.0,53
438.0,117.5,53
438.0,117.5,54
437.0,118.0,53
437.0,118.0,53
434.5,117.5,53
434.5,117.5,53
433.0,118.0,53
433.0,118.0,53
431.5,118.0,53
431.5,118.0,53
429.0,119.5,53
429.0,119.5,53
428.0,118.0,53
428.0,118.0,53
426.5,118.5,53
426.5,118.5,53
425.5,117.0,53
425.5,117.0,53
423.0,117.5,53
423.0,117.5,53
420.0,118.5,53
419.5,118.0,53
419.5,118.0,53
