@RELATION elevation

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE elevation NUMERIC

@DATA
540.0,53.0,57
540.0,53.0,57
539.5,53.0,57
539.5,53.0,57
538.0,53.5,57
538.0,53.5,57
539.5,53.5,58
539.5,53.5,58
537.0,54.5,58
537.0,54.5,59
536.0,53.5,59
536.0,53.5,59
535.5,54.0,59
535.5,54.0,59
533.0,54.0,60
533.0,54.0,60
532.5,53.5,60
531.0,54.5,60
531.0,54.5,60
531.0,54.5,60
528.5,53.0,60
526.0,54.0,60
526.0,54.0,60
526.0,54.0,60
525.0,55.5,60
524.0,56.5,60
524.0,56.5,60
521.0,56.5,60
521.0,56.5,60
520.0,55.0,60
520.0,55.0,60
517.0,55.0,60
517.0,55.0,60
517.5,54.5,60
517.5,54.5,60
515.0,56.5,60
515.0,56.5,60
513.5,56.0,60
513.5,56.0,60
511.0,55.0,60
511.0,55.0,60
510.5,56.5,60
510.5,56.5,60
508.5,55.5,60
507.0,56.5,60
507.0,56.5,60
507.0,56.5,60
504.5,56.5,60
502.0,56.0,60
502.0,56.0,60
501.5,56.0,60
501.5,56.0,60
499.0,56.5,60
499.0,56.5,60
498.5,56.5,60
498.5,56.5,60
496.5,56.5,60
496.5,56.5,60
495.5,56.5,60
495.5,56.5,60
493.5,55.5,60
491.0,57.5,60
491.0,57.5,60
491.0,57.5,60
490.0,56.5,60
488.5,57.0,60
488.5,57.0,60
488.0,56.5,60
488.0,56.5,60
486.0,56.5,60
486.0,56.5,60
483.0,56.0,60
483.0,56.0,60
481.5,57.5,60
481.5,57.5,60
480.0,56.0,60
480.0,56.0,60
479.0,56.5,60
479.0,56.5,60
477.5,56.0,60
477.5,56.0,60
475.5,56.0,60
474.0,57.0,60
474.0,57.0,60
472.0,56.0,60
472.0,56.0,60
471.5,56.0,60
471.5,56.0,60
469.5,56.5,60
469.5,56.5,60
467.0,57.0,60
467.0,57.0,60
466.0,56.0,60
466.0,56.0,60
464.5,56.0,60
464.5,56.0,60
463.5,57.5,60
463.5,57.5,60
461.0,57.5,60
461.0,57.5,60
460.0,57.0,60
460.0,57.0,60
459.5,56.5,61
459.5,56.5,61
456.5,57.0,61
456.5,57.0,61
455.0,57.0,61
455.0,57.0,61
452.0,57.5,61
452.0,57.5,61
451.5,57.5,61
451.5,57.5,61
449.5,57.0,61
449.5,57.0,61
448.0,57.0,61
448.5,58.0,61
448.5,58.0,61
448.5,58.0,61
443.5,58.0,61
442.5,59.5,61
442.5,59.5,61
442.5,59.5,61
441.5,59.5,61
439.5,58.5,61
439.5,58.5,61
439.5,58.5,61
438.5,57.5,61
436.5,58.0,61
436.5,58.0,61
436.5,58.0,61
435.0,58.5,61
434.5,59.0,61
434.5,59.0,61
434.5,59.0,61
432.0,58.0,61
430.0,59.5,61
430.0,59.5,61
428.0,58.0,61
428.0,58.0,61
427.0,59.0,61
427.0,59.0,61
424.5,59.5,61
424.5,59.5,61
424.0,58.5,61
424.0,58.5,61
420.0,59.5,61
420.0,59.5,61
419.5,59.0,61
419.5,59.0,61
418.5,59.5,61
418.5,59.5,61
417.5,59.5,61
417.5,59.5,61
414.5,60.0,61
414.5,60.0,61
414.0,59.5,61
414.0,59.5,61
411.0,60.0,61
411.0,60.0,61
409.0,61.0,61
407.0,60.5,61
407.0,60.5,61
407.0,60.5,61
407.5,60.0,61
404.0,60.5,61
404.0,60.5,61
404.0,60.5,61
403.5,59.5,61
401.0,60.5,61
401.0,60.5,61
401.0,60.5,61
400.5,60.0,61
398.5,60.0,61
398.5,60.0,61
398.5,60.0,61
396.0,61.5,61
395.0,61.0,61
395.0,61.0,61
393.0,60.0,61
393.0,60.0,61
390.5,61.0,61
390.5,61.0,61
391.0,61.0,61
391.0,61.0,61
389.0,60.0,61
389.0,60.0,61
386.0,61.0,61
386.0,61.0,61
384.0,60.5,60
384.0,60.5,60
383.5,60.5,60
383.5,60.5,60
381.0,61.0,60
380.0,61.5,60
380.0,61.5,60
380.0,61.5,60
379.0,62.0,60
377.5,61.5,60
377.5,61.5,60
377.5,61.5,60
374.0,62.0,60
374.0,62.0,60
374.0,62.0,60
374.0,62.0,60
372.5,61.0,60
370.0,63.0,60
370.0,63.0,60
370.0,63.0,60
368.0,62.0,60
368.0,62.5,60
368.0,62.5,60
367.5,61.0,60
367.5,61.0,60
364.5,62.0,60
364.5,62.0,60
362.5,62.0,60
362.5,62.0,60
362.5,62.5,60
362.5,62.5,60
359.0,62.0,60
359.0,62.0,60
357.5,63.5,60
357.5,63.5,60
355.5,63.0,60
355.5,63.0,60
354.0,62.0,60
354.0,62.0,60
352.5,63.0,60
352.5,63.0,60
352.0,62.5,60
352.0,62.5,60
349.5,62.5,60
349.5,62.5,60
348.5,62.0,60
348.5,62.0,60
347.5,62.0,60
347.5,62.0,60
344.5,62.5,60
344.5,62.5,60
343.5,62.5,60
343.5,62.5,60
340.0,63.0,60
340.0,63.0,60
340.0,63.5,60
340.0,63.5,60
338.5,63.0,60
335.5,62.5,60
335.5,62.5,60
335.0,63.0,60
335.0,63.0,60
333.5,63.5,60
333.5,63.5,60
331.5,62.0,60
331.5,62.0,60
329.0,63.0,60
329.0,63.0,60
327.5,63.0,60
327.5,63.0,60
326.5,62.0,60
326.5,62.0,60
324.5,64.0,60
324.5,64.0,60
322.5,64.5,60
322.5,64.5,60
321.5,64.0,60
321.5,64.0,60
319.0,64.0,60
319.0,64.0,60
317.0,64.0,60
317.0,64.0,60
317.0,64.0,60
317.0,64.0,60
314.5,64.5,60
314.5,64.5,60
313.5,64.5,60
313.5,64.5,60
311.0,64.0,60
311.0,64.0,60
310.5,63.0,60
310.5,63.0,60
307.0,64.0,60
307.0,64.0,60
306.0,64.0,60
306.0,64.0,60
305.0,64.5,60
302.0,64.5,60
302.0,64.5,60
302.0,64.5,60
301.5,64.5,60
299.0,65.0,60
299.0,65.0,60
299.0,65.0,60
297.5,65.0,60
296.0,64.0,60
296.0,64.0,60
294.0,64.5,61
294.0,64.5,61
293.5,64.0,61
293.5,64.0,61
291.0,64.0,61
291.0,64.0,61
290.5,65.5,61
290.5,65.5,61
288.5,65.0,61
288.5,65.0,61
286.0,65.0,61
286.0,65.0,61
285.5,65.5,61
285.5,65.5,61
283.0,65.5,61
283.0,65.5,61
