intensity,distance,class
27,37,ROTATE
27,36,ROTATE
27,36,ROTATE
27,35,ROTATE
27,35,ROTATE
27,35,ROTATE
27,35,ROTATE
27,35,ROTATE
28,35,ROTATE
29,35,ROTATE
30,35,ROTATE
31,35,ROTATE
32,35,ROTATE
33,35,ROTATE
34,35,ROTATE
35,35,ROTATE
35,35,ROTATE
36,35,ROTATE
36,35,ROTATE
36,35,ROTATE
36,34,ROTATE
36,34,ROTATE
36,35,ROTATE
36,35,ROTATE
37,35,ROTATE
37,35,ROTATE
37,36,ROTATE
37,35,ROTATE
37,37,ROTATE
37,36,ROTATE
37,37,ROTATE
37,36,ROTATE
37,36,ROTATE
37,255,ROTATE
37,38,ROTATE
37,40,ROTATE
37,255,ROTATE
37,255,ROTATE
36,255,ROTATE
36,250,ROTATE
35,249,ROTATE
34,250,ROTATE
33,249,ROTATE
32,249,ROTATE
31,255,ROTATE
30,255,ROTATE
29,248,ROTATE
28,247,ROTATE
27,246,ROTATE
27,246,ROTATE
26,246,ROTATE
26,246,ROTATE
26,245,ROTATE
26,245,ROTATE
26,246,ROTATE
26,246,ROTATE
26,246,ROTATE
26,246,ROTATE
26,246,ROTATE
26,246,ROTATE
26,247,ROTATE
26,248,ROTATE
26,248,ROTATE
27,248,ROTATE
27,255,ROTATE
27,255,ROTATE
28,255,ROTATE
28,255,ROTATE
29,255,ROTATE
29,255,ROTATE
29,255,ROTATE
29,255,ROTATE
28,255,ROTATE
28,255,ROTATE
28,255,ROTATE
27,255,ROTATE
27,255,ROTATE
27,255,ROTATE
27,255,ROTATE
27,255,ROTATE
27,255,ROTATE
27,169,ROTATE
26,168,ROTATE
27,168,ROTATE
27,168,ROTATE
27,255,ROTATE
27,255,ROTATE
27,255,ROTATE
27,166,ROTATE
26,165,ROTATE
26,166,ROTATE
26,255,ROTATE
26,255,ROTATE
26,167,ROTATE
27,167,ROTATE
27,167,ROTATE
27,167,ROTATE
28,168,ROTATE
28,255,ROTATE
28,255,ROTATE
29,255,ROTATE
29,255,ROTATE
29,255,ROTATE
29,255,ROTATE
30,255,ROTATE
30,26,ROTATE
29,26,ROTATE
29,25,ROTATE
29,24,ROTATE
29,23,ROTATE
29,23,ROTATE
26,38,ROTATE
26,37,ROTATE
26,37,ROTATE
26,36,ROTATE
27,35,ROTATE
27,35,ROTATE
27,34,ROTATE
27,34,ROTATE
27,34,ROTATE
27,33,ROTATE
27,33,ROTATE
27,33,ROTATE
27,33,ROTATE
27,33,ROTATE
27,33,ROTATE
28,33,ROTATE
28,33,ROTATE
