diff,intensity
-1,32
0,33
-1,33
0,33
-1,33
-2,33
0,32
0,32
-2,33
0,33
-1,33
0,33
0,34
-2,34
0,34
0,34
-1,35
0,35
-1,36
0,37
0,38
0,39
-1,40
0,41
-1,42
1,43
-1,44
0,45
0,45
-1,45
0,45
-1,45
0,46
0,46
0,46
-1,46
0,46
0,47
0,48
0,48
-1,49
1,49
0,49
0,49
0,50
0,50
-1,50
1,50
0,51
0,51
1,51
-1,51
1,50
0,50
0,50
0,50
1,50
0,50
1,50
0,50
2,50
0,50
2,50
0,50
2,50
1,50
2,50
2,50
1,50
2,49
2,49
2,46
3,44
1,42
2,42
3,42
1,41
3,40
2,39
2,38
3,37
2,35
2,34
2,33
2,33
2,33
2,33
2,33
2,33
1,34
3,33
1,33
2,34
0,33
1,34
1,33
1,33
1,33
0,33
1,34
0,34
0,33
1,34
0,34
-1,33
1,33
-1,33
0,33
-1,33
0,33
0,34
-1,33
-1,33
-1,34
-1,33
-2,34
-1,34
-1,34
-2,34
-1,33
-2,33
-2,33
-2,33
-2,33
-2,33
-2,33
-3,32
-2,33
-2,33
-3,33
-2,33
-2,34
-2,34
-2,34
-3,35
-2,37
-2,39
-1,41
-3,42
-1,44
-2,45
-2,45
-2,46
-2,47
-1,48
-1,49
-1,50
-2,50
0,50
-1,51
-1,50
-1,51
0,51
-1,51
0,51
1,50
0,50
1,51
0,50
0,50
1,50
1,50
1,50
2,50
0,50
2,50
2,50
2,50
1,50
3,51
1,50
2,49
2,49
2,50
3,50
1,50
3,50
2,50
3,50
1,50
3,50
2,49
3,47
2,46
2,44
3,40
3,38
2,35
2,34
2,33
3,34
2,34
2,33
3,33
1,33
2,33
3,33
1,33
2,33
1,33
1,33
2,33
1,33
1,34
1,33
1,33
0,33
0,33
0,34
0,33
-1,33
0,33
-1,32
-1,33
-1,33
-1,32
0,33
-3,33
-1,33
-1,34
-2,34
-2,33
-1,33
-2,33
-1,33
-3,33
-1,32
-3,33
-1,33
-2,33
-2,33
-2,33
-2,32
-2,31
-2,31
-3,31
-2,31
-2,31
-2,31
-2,32
-3,34
-2,33
-2,34
-3,36
-2,39
-2,42
-2,44
-2,45
-1,47
-2,47
-2,48
-1,49
-1,50
-1,50
-1,50
0,50
-1,49
-1,49
0,49
0,49
0,50
-1,50
1,50
1,50
-1,50
1,50
1,50
1,50
1,50
1,49
1,49
1,49
2,49
2,49
1,49
1,50
2,50
3,50
1,50
3,51
2,50
1,50
2,50
3,49
2,50
3,50
2,50
2,50
3,50
2,50
2,50
3,51
2,51
3,51
2,50
2,49
3,47
2,44
2,40
3,35
1,34
2,34
3,33
2,33
2,32
1,33
2,33
2,33
2,33
2,33
1,33
1,33
1,34
2,34
1,32
1,32
1,33
0,32
2,32
0,33
0,33
0,33
0,32
0,33
0,32
0,32
-1,32
0,32
-1,33
-1,33
0,33
-1,32
-1,33
0,32
-1,33
0,33
-2,33
0,33
-1,33
-1,33
-1,33
0,33
-2,33
-1,32
-1,32
-1,33
-1,33
-1,33
-1,34
-2,33
-1,33
-2,33
0,32
-2,32
-1,32
-2,32
-1,32
-2,33
-1,32
-1,33
-2,33
-1,33
-1,33
-2,32
-1,32
-1,32
-1,32
-1,33
-1,34
-2,35
-2,36
-1,39
-1,40
-1,42
-1,43
-1,45
-1,46
-2,47
0,47
-1,47
-1,48
-1,48
0,49
0,49
-1,49
1,49
-1,48
1,49
0,50
0,49
1,49
1,49
1,49
2,49
1,49
1,49
2,50
1,49
1,49
2,49
2,49
2,48
2,47
2,47
1,46
3,45
2,44
2,43
3,40
2,37
3,36
2,34
3,33
3,32
3,32
3,32
2,32
3,32
2,31
3,31
3,31
2,32
2,31
2,31
3,32
3,32
2,32
3,32
1,32
3,32
1,32
2,32
1,32
1,32
2,32
1,32
1,32
1,33
1,32
0,31
0,32
0,32
-1,32
-1,32
-1,32
-1,32
-1,33
-1,32
-2,33
-2,33
-2,32
-2,32
-2,32
-3,32
-3,32
-2,32
-3,32
-3,32
-2,32
-2,33
-4,32
-3,32
-2,33
-2,32
-3,32
-3,33
-2,32
-3,32
-3,32
-2,32
-2,32
-3,32
-2,32
-2,32
-2,32
-2,31
-3,33
-2,33
-2,35
-1,39
-2,43
-2,45
-2,47
-2,49
-1,49
-1,50
-2,49
-1,49
-1,50
-1,50
-2,50
0,50
-1,49
-1,49
0,49
-1,49
-1,49
1,50
0,50
-1,50
